tag1,tag2,tag3,tag4,tag5,tag6,,odd tag
django-templates,django-models,django,flask,django-admin,ipad,,ipad
backbone.js,jquery-selectors,ajax,twitter-bootstrap,css,jquery-ui,,backbone.js
scala,maven-2,sbt,playframework,clojure,playframework-2.0,,maven-2
algorithm,graph,tree,binary-tree,data-structures,css,,css
angularjs,requirejs,gruntjs,npm,winforms,typescript,,winforms
hibernate,spring-mvc,spring,jsf,jsp,utf-8,,utf-8
vector,visual-studio-2012,iis,msbuild,visual-studio,visual-studio-2010,,vector
svn,git,github,version-control,arrays,mercurial,,arrays
css,css3,twitter-bootstrap,time,css-selectors,html5,,time
android-activity,javascript-events,android-intent,android-viewpager,android-layout,android-fragments,,javascript-events
garbage-collection,memory-management,twitter-bootstrap,arrays,memory,pointers,,twitter-bootstrap
list,arrays,linux,dictionary,collections,linq,,linux
assembly,kernel,gdb,linux,audio,linux-kernel,,audio
jar,maven-2,maven,eclipse,wcf,ant,,wcf
excel,vim,csv,vba,excel-vba,api,,api
listview,android-listview,image-processing,layout,android-layout,android-actionbar,,image-processing
apache,cookies,session,caching,security,asp.net-mvc,,security
css,internet-explorer,google-chrome,c++11,firefox,html5,,C++11
networking,websocket,cocoa,linux,sockets,tcp,,linux
3d,algorithm,random,hadoop,r,math,,3d
floating-point,bit-manipulation,math,solr,integer,casting,,solr
linux,directory,path,file,database,bash,,database
stl,c++11,boost,vector,linq,constructor,,linq
parsing,syntax,git,c++11,operators,lambda,,git
colors,svg,image-processing,opencv,css,datetime,,colors
junit,delphi,testing,unit-testing,mocking,cookies,,cookies
google-maps,google-maps-api-3,design-patterns,google-analytics,google-app-engine,geolocation,,design-pattern
linux,nginx,apache,docker,.htaccess,ssh,,ssh
cocoa-touch,ipad,unit-testing,xcode,uitableview,ios7,,unit-testing
postgresql,tsql,matlab,sql,sql-server,mysql,,matlab
mono,visual-studio-2010,assemblies,dll,visual-studio,ssl,,ssl
templates,c++11,c-preprocessor,clang,gcc,qt,,qt
visual-studio-2010,winforms,debugging,visual-studio,intellij-idea,eclipse,,intellij-idea
unix,shell,optimization,bash,powershell,linux,,optimization
email,security,integer,authentication,oauth,asp.net-mvc,,integer
cron,stl,timeout,timer,time,scheduled-tasks,,stl
agile,open-source,uml,math,tfs,licensing,,math
character-encoding,utf-8,json,unicode,encoding,maven,,maven
cryptography,logging,security,encryption,ssl,hash,,hash
makefile,linux,visual-studio,cmake,osx,r,,r
wpf,algorithm,events,gwt,event-handling,javascript-events,,wpf
arrays,css,printf,regex,string,char,,arrays
soap,web-services,wcf,rest,audio,wsdl,,audio
xcode,ipad,perl,swift,osx,cocoa,,perl
arrays,laravel,algorithm,apache,mysql,codeigniter,,algorithm
image,css,c++11,pdf,bitmap,image-processing,,pdf
datetime,sql,time,date,wordpress,timezone,,wordpress
angularjs-directive,backbone.js,reactjs,angularjs,ember.js,image-processing,,image-processing
ggplot2,r,pandas,maven,matplotlib,matlab,,maven
rest,post,http,json,apache,ajax,,rest
sql,google-chrome,postgresql,sqlite,database,mysql,,google-chrome
symfony2,osx,doctrine2,wordpress,localization,magento,,osx
multithreading,task-parallel-library,concurrency,spring-mvc,asynchronous,thread-safety,,spring-mvc
core-data,cocoa-touch,cocoa,file,xcode,swift,,file
angularjs,winforms,forms,css,json,validation,,validation
search,elasticsearch,solr,css,lucene,indexing,,css
scala,r,git,performance,angularjs,haskell,,performance
dependency-injection,oop,asp.net-mvc,azure,winforms,design-patterns,,oop
datagridview,winforms,uitableview,swing,extjs,delphi,,delphi
mongodb,jpa,gruntjs,hibernate,entity-framework,nhibernate,,mongodb
youtube,ffmpeg,audio,html5,web-services,video,,web-services
enums,reflection,inheritance,oop,pointers,generics,,pointers
bash,linq,oracle,sql-server,sql,sql-server-2008,,bash
paypal,api,twitter,spring-mvc,facebook,facebook-graph-api,,spring-mvc
visual-studio-2010,monads,ghc,lisp,functional-programming,haskell,,visual-studio-2010
xml,xpath,xsd,xslt,jaxb,stl,,stl
list,python-2.7,python-3.x,perl,mongodb,numpy,,mongodb
apache,redirect,.htaccess,mod-rewrite,url,c++11,,c++11
programming-languages,language-agnostic,r,performance,oop,facebook-graph-api,,facebook-graph-api
transactions,logging,log4net,swing,redis,log4j,,swing
cordova,android-studio,c++11,android-emulator,gradle,eclipse,,c++11
jvm,optimization,assembly,file,memory,performance,,jvm
xaml,silverlight,winforms,mvvm,wpf,linux,,linux
elisp,ruby-on-rails-3,rspec,activerecord,rubygems,heroku,,elisp
r,perl,string,css,bash,regex,,bash
security,graphics,opengl-es,3d,opengl,math,,security
try-catch,debugging,time,exception,exception-handling,error-handling,,time
emacs,spring,markdown,latex,elisp,r,,r
fonts,icons,css,log4net,qt,wpf,,qt
asp.net-mvc,razor,asp.net-mvc-3,3d,asp.net-web-api,asp.net-mvc-4,,3d
